id,app_url,title,price,hint
3689,https://apps.shopify.com/growth-funnel,Pro Plus Plan,$69/month,
3690,https://apps.shopify.com/inventory-reorder-1,Super Deluxe,$10/month,
3691,https://apps.shopify.com/coupon-pop,Economy,$9.99/month,
3692,https://apps.shopify.com/coupon-pop,First Class,$24.99/month,
3693,https://apps.shopify.com/coupon-pop,Private Jet,$69.99/month,
3694,https://apps.shopify.com/open-signin,PRO PLAN,$5.45/month,
3695,https://apps.shopify.com/represent,,Free,
3696,https://apps.shopify.com/blogcollab,,$1.99/month,
3697,https://apps.shopify.com/fulfillment-estimates,All Access Plan,$9.99/month,
3698,https://apps.shopify.com/crowdlever,Solo,$9/month,
3699,https://apps.shopify.com/crowdlever,Startup,$29/month,
3700,https://apps.shopify.com/crowdlever,Business,$149/month,
3701,https://apps.shopify.com/external-affiliate-product-links,,$5/month,
3702,https://apps.shopify.com/logistician-55,,$15/month,
3703,https://apps.shopify.com/smart-combo-generator,,$3/month,
3704,https://apps.shopify.com/convead,,Free to install,E-commerce Analytics - For Free. Plans start from $10/month.
3705,https://apps.shopify.com/spin-a-sale,Pro,$9.99/month,
3706,https://apps.shopify.com/spin-a-sale,Premium,$24.99/month,
3707,https://apps.shopify.com/mailjoy-postcard-marketing,,Free to install,Pay per postcard sent
3708,https://apps.shopify.com/dropshop,,$5.99/month,
3709,https://apps.shopify.com/frequently-bought-together-one-click-upsell-cross-sell,Unlimited plan,$6.95/month,
3710,https://apps.shopify.com/bpost,Basic plan,$30/month,
3711,https://apps.shopify.com/bpost,Pro plan,$50/month,
3712,https://apps.shopify.com/abandon-aid,Free 7 Day Trial!,$10/month,
3713,https://apps.shopify.com/appush,,Free,
3714,https://apps.shopify.com/parcelperform,BRONZE,Free,
3715,https://apps.shopify.com/parcelperform,SILVER,$49/month,Includes 500 parcels/month(addtl. parcels USD 0.01/parcel)
3716,https://apps.shopify.com/parcelperform,GOLD,$149/month,Includes 5000 parcels/month(addtl. parcels USD 0.015/parcel)
3717,https://apps.shopify.com/wholesale-pricing-discount,Basic,$19.99/month,
3718,https://apps.shopify.com/wholesale-pricing-discount,Professional,$29.99/month,
3719,https://apps.shopify.com/wholesale-pricing-discount,Enterprise,$38.99/month,
3720,https://apps.shopify.com/shophero,FREE,Free,
3721,https://apps.shopify.com/shophero,STARTER,$20/month,"Earn extra sales up-to $1,000/mth"
3722,https://apps.shopify.com/shophero,GROWTH,$88/month,"Earn extra sales up-to $5,000/mth"
3723,https://apps.shopify.com/shophero,ADVANCED,$150/month,Enterprise plan available. Please see our pricing page.
3724,https://apps.shopify.com/shippit-connect,Start,$19/month,Usage fees apply such as SMS notifications
3725,https://apps.shopify.com/shippit-connect,Grow,$49/month,Usage fees apply such as SMS notifications
3726,https://apps.shopify.com/shippit-connect,Unleash,$149/month,Usage fees apply such as SMS notifications
3727,https://apps.shopify.com/yeps-io,,Free,
3728,https://apps.shopify.com/route4me-integration,,Free,
3729,https://apps.shopify.com/awesome-facebook-product-feed,Small,$14/month,
3730,https://apps.shopify.com/awesome-facebook-product-feed,Medium,$24/month,
3731,https://apps.shopify.com/awesome-facebook-product-feed,Large,$34/month,
3732,https://apps.shopify.com/contactly-1,Pro,$3/month,
3733,https://apps.shopify.com/contactly-1,Free,Free,
3734,https://apps.shopify.com/wishy,Free,Free,
3735,https://apps.shopify.com/wishy,Standard,$24/month,
3736,https://apps.shopify.com/search-hider,Basic,$2.99/month,
3737,https://apps.shopify.com/search-hider,Advanced,$7.99/month,
3738,https://apps.shopify.com/search-hider,Professional,$13.99/month,
3739,https://apps.shopify.com/search-hider,Business,$27.99/month,
3740,https://apps.shopify.com/amazone-dropshipper,,Free,
3741,https://apps.shopify.com/spinwheel-by-kamozi,,$4.99/month,
3742,https://apps.shopify.com/free-4-ever-sticky-cart,,Free,
3743,https://apps.shopify.com/correios-sedex-pac,,$4.99/month,
3744,https://apps.shopify.com/direct-upsell-by-eri,FREE,Free,
3745,https://apps.shopify.com/direct-upsell-by-eri,Unlimited,$29.99/month,
3746,https://apps.shopify.com/popup-that-works-for-constant-contact,,$5/month,
3747,https://apps.shopify.com/background-remover,Starter Plan,$4/month,
3748,https://apps.shopify.com/background-remover,Standard Plan,$10/month,
3749,https://apps.shopify.com/background-remover,Professional Plan,$30/month,
3750,https://apps.shopify.com/trackinggenie,,$7.99/month,
3751,https://apps.shopify.com/algolia-search,,Free to install,Transparent pricing that scales with you. Starts at $0/month
3752,https://apps.shopify.com/age-verifier-by-omega,,$2.99/month,
3753,https://apps.shopify.com/abandoned-cart-recovery-1,,Free,
3754,https://apps.shopify.com/iex-integration-for-dinero,Basic,$11/month,
3755,https://apps.shopify.com/iex-integration-for-dinero,Standard,$20/month,
3756,https://apps.shopify.com/iex-integration-for-dinero,Premium,$38/month,
3757,https://apps.shopify.com/iex-integration-for-dinero,Enterprise,$60/month,
3758,https://apps.shopify.com/affiliatly,Starter,$16/month,
3759,https://apps.shopify.com/affiliatly,Advanced,$24/month,
3760,https://apps.shopify.com/affiliatly,Pro 1000,$59/month,
3761,https://apps.shopify.com/affiliatly,Pro Unlimited,$129/month,
3762,https://apps.shopify.com/springbot,,Free,
3763,https://apps.shopify.com/modalyst-for-suppliers,,Free to install,5% Transaction Fee on Sales
3764,https://apps.shopify.com/identiflo-consumer-verification,,Free,
3765,https://apps.shopify.com/shopify-editor-like-me,,$1.99/month,
3766,https://apps.shopify.com/colourcodedds,Shopify only plan,$45/month,
3767,https://apps.shopify.com/art-of-where,,Free to install,App is free! Pay only for drop shipped products as you receive orders.
3768,https://apps.shopify.com/size-chart-popup,,$7.99/month,
3769,https://apps.shopify.com/kudobuzz-seo,Free,Free,
3770,https://apps.shopify.com/kudobuzz-seo,Basic Plan,$14.99/month,
3771,https://apps.shopify.com/kudobuzz-seo,Pro Plan,$24.99/month,
3772,https://apps.shopify.com/sky-watcher,,Free,
3773,https://apps.shopify.com/discount-code-analytics,,$1.99/month,
3774,https://apps.shopify.com/starshipit,Starter,$30/month,
3775,https://apps.shopify.com/starshipit,Professional,$60/month,
3776,https://apps.shopify.com/starshipit,Enterprise,$110/month,
